"lower";"est.";"upper";"p.val"
"Asymptote.(Intercept)";31.8957785353844;35.0606512417148;38.2255239480452;2.21982714786651e-93
"Asymptote.Maturity.Order";-0.459516234348229;0.875439369744885;2.210394973838;0.198551280791268
"Asymptote.PrecCrop.Five.ClassesGrassland";-5.71237164563286;-0.695820004167645;4.32073163729757;0.785625522250953
"Asymptote.PrecCrop.Five.ClassesHRC";3.16955171841234;8.26110254126452;13.3526533641167;0.00148618534706425
"Asymptote.PrecCrop.Five.ClassesLegume";-2.57580852248621;3.88221395601358;10.3402364345134;0.238550976201081
"Asymptote.PrecCrop.Five.ClassesLRC";-4.0053255118938;1.03747122204981;6.08026795599342;0.686631111388885
"Asymptote.soilTextIlr1";-0.519715919606871;0.962395710755113;2.4445073411171;0.202993838795045
"Asymptote.soilTextIlr2";0.564919266748228;2.31866777968779;4.07241629262736;0.00958919252871394
"Asymptote.soilTextIlr3";-2.52437551683422;-0.407539594202474;1.70929632842927;0.705781638141811
"Asymptote.soilTypeIlr1_3";-4.54604674433348;-2.84027788408253;-1.13450902383158;0.00111202965136079
"Asymptote.soilTypeIlr2_3";-1.6214525984708;0.638230542208971;2.89791368288874;0.579686588814311
"Asymptote.soil_pH";-0.727379690335706;0.20156063619143;1.13050096271857;0.670485044716594
"Asymptote.pcpCum_0_45";-1.35159874071796;0.318407531547639;1.98841380381324;0.708494155756306
"Asymptote.pcpCum_46_end";-0.783976909569325;0.820668468453564;2.42531384647645;0.315969075790389
"Asymptote.DJCb_0_45";-2.66614045620384;-0.910802318551653;0.844535819100538;0.308979879434709
"Asymptote.DJCb_46_end";-3.44606488632074;-1.16831742144811;1.10943004342453;0.314558091672075
"Asymptote.SDI_0_45";-3.03907522945587;-1.19737701352642;0.644321202403037;0.202432973802517
"Asymptote.SDI_46_end";-1.49815047927534;0.112718256286975;1.72358699184929;0.890859412689575
"Rate.(Intercept)";0.018680586231674;0.0242422625893374;0.0298039389470008;2.56946115261854e-17
"Rate.Maturity.Order";-0.0044120352201992;-0.00262422023910103;-0.000836405258002847;0.00403797174399257
"Rate.PrecCrop.Five.ClassesGrassland";-0.0142937482526875;-0.00572736520471752;0.00283901784325249;0.189931336209597
"Rate.PrecCrop.Five.ClassesHRC";-0.0159438083452343;-0.0103825396678528;-0.00482127099047119;0.000257775366126921
"Rate.PrecCrop.Five.ClassesLegume";-0.00788158101734357;0.0149757796132614;0.0378331402438664;0.198960407520022
"Rate.PrecCrop.Five.ClassesLRC";-0.00621331865788805;0.000372956927355545;0.00695923251259914;0.911581998864454
"Rate.soilTextIlr1";-0.00204340358367443;-0.000648818513746001;0.000745766556182428;0.361648510252415
"Rate.soilTextIlr2";0.00051824569776453;0.00161093192666989;0.00270361815557524;0.00387965630747224
"Rate.soilTextIlr3";-0.00779832064535718;-0.00571974830755266;-0.00364117596974814;7.65617963177358e-08
"Rate.soilTypeIlr1_3";-0.000293061951249501;0.00167960721550595;0.0036522763822614;0.0951117232368046
"Rate.soilTypeIlr2_3";2.48633249176097e-05;0.00250917542129442;0.00499348751767123;0.047753122447807
